1670956200 !AIVDM,1,1,,B,16=q>s0P005ePH<3v>FaCgwp0`0E,0*6D
1670956203 !AIVDM,1,1,,B,16=q?=1P?w<tSF0l4Q@>4?wv0VAl,0*1E
1670956205 !AIVDM,1,1,,B,16=qfJ0P005eS0:3vkLWvOv:0H31,0*11
1670956205 !AIVDM,1,1,,B,16=q?;0v005eRUD3vq<2FB`80<0u,0*10
1670956208 !AIVDM,1,1,,B,13irNr30005eIup3vImS0oB>885?,0*04
1670956219 !AIVDM,1,1,,B,16=q>s0P005ePH<3v>F`hOwp0PSt,0*0D
1670956225 !AIVDM,1,1,,B,16=qfJ0P005eRwF3vkN`1Ovl06Ap,0*42
1670956226 !AIVDM,1,1,,B,16=q?:h2@25eS=d3vp63tC4h0D0v,0*70
1670956230 !AIVDM,1,1,,B,13irNr30005eIup3vImTD7Bp8<1F,0*18
1670956233 !AIVDM,1,1,,B,36?UgvE001UeS?43vcfJt``v0000,0*4F
1670956240 !AIVDM,1,1,,B,36=q?60000UePJH3v>80067@2BS3,0*15
1670956244 !AIVDM,1,1,,B,16=q?;00005eRTv3vq=BFBaF0<0t,0*6A
1670956249 !AIVDM,1,1,,B,13irNr30015eIup3vImVEoCP80S7,0*7C
1670956266 !AIVDM,1,1,,B,16=q?:h2015eS>D3vp53P3880H3Q,0*03
1670956268 !AIVDM,1,1,,B,33irNr30015eIv<3vImeioB>85e3,0*76
1670956277 !AIVDM,1,1,,B,19N`2m000vUe>8H40nd4:CLR06At,0*0A
1670956285 !AIVDM,1,1,,B,16=qfJ0P015eRuv3vkUFp?vl00S3,0*2A
1670956288 !AIVDM,1,1,,B,3815Q5E000UeQUH3v@q6a0lp0000,0*48
1670956290 !AIVDM,1,1,,B,13irNr30005eIup3vIme47Br88Ac,0*0A
1670956307 !AIVDM,2,1,3,B,53irNr82EdwdiQ<T0008tpqV18UHE800000000162J<??6b=NI32hk@P,0*21
1670956307 !AIVDM,2,2,3,B,000000000000000,2*24
1670956325 !AIVDM,1,1,,B,16=qfJ0P005eRuf3vkQFmgv:0@31,0*3E
1670956326 !AIVDM,1,1,,B,16=q?:huP05eS?03vp63P3880D0v,0*7B
1670956326 !AIVDM,1,1,,B,35VF1F50005eLa03vGRP0HP:0C1b,0*3E
1670956328 !AIVDM,1,1,,B,13irNr3vh05eIup3vImRpGB>80Rj,0*49
1670956340 !AIVDM,1,1,,B,16=q>s0P005ePHl3v>I48wwp0`<3,0*76
1670956345 !AIVDM,1,1,,B,16=qfJ0P015eRvR3vkG6k?vl0<0T,0*7C
1670956346 !AIVDM,1,1,,B,16=q?:hv@05eS?@3vp43P36h0<0v,0*3C
1670956350 !AIVDM,1,1,,B,13irNr30005eIv<3vImd8GBp86B0,0*64
1670956364 !AIVDM,1,1,,B,16=q?=1P?w<tSF0l4Q@>4?wv0d0w,0*46
1670956365 !AIVDM,1,1,,B,16=qfJ0P015eRvJ3vkRG3OwJ08JI,0*6C
1670956369 !AIVDM,1,1,,B,13irNr30005eIv<3vImU6oCP8HM4,0*27
1670956385 !AIVDM,1,1,,B,16=q?;0vP05eRTn3vq=BFB`600SV,0*68
1670956386 !AIVDM,1,1,,B,16=q?:h2P15eS>V3vp0kP3880@3Q,0*24
1670956388 !AIVDM,1,1,,B,13irNr30015eIv<3vImQeoB<8@4o,0*36
1670956393 !AIVDM,1,1,,B,3815<Q5000UePdr3v::1@0PJ0000,0*2A
