1672684201 !AIVDM,2,1,5,A,5815<Q02>8cEKMT7:20=E=<hE:22222222222216E@lH66=<0>p32hk@,0*7E
1672684201 !AIVDM,2,2,5,A,`88888888888880,2*79
1672684203 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;19wv40@2D,0*3F
1672684219 !AIVDM,2,1,6,A,56jFm002<a7wQ4lV220m=>0M850PDpF222222216@`:8:6W`N<k2hk@`,0*39
1672684219 !AIVDM,2,2,6,A,888888888888880,2*22
1672684224 !AIVDM,1,1,,A,16=q?600005eRUL3vqR@02dh08>A,0*20
1672684225 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;Dbgvh0H>f,0*7B
1672684241 !AIVDM,1,1,,A,38J7lL5000UeQRF3v@Iv10sB0000,0*0A
1672684245 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;BWOwF00Rj,0*57
1672684245 !AIVDM,1,1,,A,16=q?600005eRU`3vqRIdjeJ08Ji,0*76
1672684249 !AIVDM,1,1,,A,16=q>qP000UeRwj3vkds7p9206Ap,0*7F
1672684263 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;IrOv40<0v,0*78
1672684269 !AIVDM,1,1,,A,16=qfJ0P015eSF>3vjAFtwvD0L0O,0*41
1672684270 !AIVDM,1,1,,A,3815BW1000Udw=H3v;P9kQ@D0000,0*27
1672684284 !AIVDM,1,1,,A,16=q?600005eRU`3vqQ002dh06At,0*3B
1672684285 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;BIOvh0D0v,0*6C
1672684292 !AIVDM,1,1,,A,13kttoPvAn5e;hb3r?Em1Cs008Bk,0*0E
1672684293 !AIVDM,2,1,7,A,56?Ugv@2AN385Hib221HU<QH6118DE@V2222221?H8T:F6nb0=hkk3k@,0*6B
1672684293 !AIVDM,2,2,7,A,Sp8888888888880,2*00
1672684309 !AIVDM,1,1,,A,16=q>qP000UeRwr3vkec0p9400Sg,0*74
1672684323 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;Hawv4082D,0*66
1672684325 !AIVDM,1,1,,A,16=q?600005eRUR3vqRJ82d:0D0n,0*33
1672684330 !AIVDM,1,1,,A,16=q>qP000UeRwv3vkec0p9f086F,0*6E
1672684331 !AIVDM,1,1,,A,16=q?=@P00UePF83v;vf4?vF20SM,0*28
1672684345 !AIVDM,1,1,,A,16=q?=PP015ePH`3v=;Rf?vh0@>f,0*38
1672684348 !AIVDM,1,1,,A,16=q>qP001UeS043vkebm`8J08@u,0*4F
1672684349 !AIVDM,1,1,,A,16=qfJ0P015eSFL3vjA6pwvr0<0P,0*1E
1672684352 !AIVDM,1,1,,A,13kttoP4Ao5e<P`3r:GE6l5006B0,0*64
1672684352 !AIVDM,1,1,,A,16=q?=@P00UePF03v;vf4?w02@C4,0*4E
1672684364 !AIVDM,1,1,,A,16=q?=PP015ePH`3v=;WtwwF0@J1,0*6B
1672684365 !AIVDM,1,1,,A,16=q?600005eRV43vqO:eReJ00RR,0*5D
1672684369 !AIVDM,1,1,,A,16=qfJ0P005eSF83vj>Vn?wR0D0P,0*7B
1672684372 !AIVDM,1,1,,A,16=q?=@P00UePF83v;u>4?w`26B0,0*3E
1672684383 !AIVDM,1,1,,A,16=q?=PP025ePH`3v=;PR?v406B4,0*09
1672684385 !AIVDM,1,1,,A,16=q?600005eRUR3vqPK:2d:0@3;,0*60
1672684392 !AIVDM,1,1,,A,16=q?=@P00UePF03v;u>4?vH2D0p,0*5F
1672684393 !AIVDM,1,1,,A,39NS6oE0005eP?h3vDk:55vFH000,0*52
1672684404 !AIVDM,1,1,,A,16=q?600005eRUR3vqOc0Bdh0<0n,0*55
1672684405 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;f1wvh0<0v,0*70
1672684412 !AIVDM,1,1,,A,16=q?=@P00UePF03v;tv4?w02<0p,0*17
1672684424 !AIVDM,1,1,,A,16=q?=PP005ePH`3v=;WmwwF0<0v,0*32
